廠商\政黨,中國國民黨,民主進步黨,時代力量,無黨及其他
中鹿汽車客運股份有限公司,0.0,200000.0,0.0,0.0
中鼎化工股份有限公司,0.0,2000000.0,0.0,0.0
中鼎液化石油氣股份有限公司,0.0,0.0,0.0,0.0
中龍加油站股份有限公司,32000.0,0.0,0.0,0.0
丰曄工程有限公司,0.0,0.0,0.0,0.0
丸太營造事業有限公司,0.0,0.0,0.0,0.0
丸宏有限公司,0.0,0.0,0.0,0.0
丸田冷凍倉儲行,0.0,10000.0,0.0,0.0
丸莊食品工業股份有限公司,0.0,30000.0,0.0,0.0
丹堤生物科技有限公司,0.0,0.0,0.0,0.0
丹尼斯資產管理股份有限公司,220000.0,100000.0,0.0,0.0
丹澤企業股份有限公司,620000.0,800000.0,0.0,200000.0
主人廣播電台(股)公司,0.0,0.0,0.0,0.0
主人廣播電台股份有限公司,0.0,0.0,0.0,0.0
主原木業股份有限公司,0.0,15000.0,0.0,0.0
主帥科技有限公司,0.0,0.0,0.0,0.0
主新德科技股份有限公司,0.0,0.0,0.0,0.0
乃升企業有限公司,0.0,0.0,0.0,0.0
乃威雅興業股份有限公司,0.0,0.0,0.0,0.0
乃順股份有限公司,0.0,0.0,0.0,0.0
久丹奴企業有限公司,0.0,0.0,0.0,0.0
久久企業工業股份有限公司,0.0,0.0,0.0,0.0
久久健康企業有限公司,0.0,0.0,0.0,0.0
久仁製藥股份有限公司,0.0,0.0,0.0,0.0
久保田房屋仲介股份有限公司,0.0,0.0,0.0,0.0
久保田生物科技有限公司,0.0,0.0,0.0,0.0
久億營造有限公司,0.0,0.0,0.0,0.0
久利揚工業有限公司,0.0,0.0,0.0,0.0
久勝旗幟有限公司,0.0,274500.0,0.0,0.0
久大資訊網路股份有限公司,0.0,0.0,0.0,0.0
久大順有限公司,0.0,0.0,0.0,0.0
久展鋼鐵有限公司,0.0,60000.0,0.0,0.0
久川建設有限公司,0.0,0.0,0.0,0.0
久年營造股份有限公司,100000.0,0.0,0.0,0.0
久新印刷事業有限公司,6600.0,0.0,0.0,0.0
久旺建設股份有限公司,0.0,0.0,0.0,0.0
久昌紙器行,0.0,80000.0,0.0,0.0
久景實業有限公司,0.0,0.0,0.0,0.0
久木營造有限公司,0.0,0.0,0.0,0.0
久樘開發股份有限公司,200000.0,0.0,0.0,0.0
久泰精業股份有限公司,0.0,0.0,0.0,0.0
久津實業股份有限公司,1000000.0,0.0,0.0,0.0
久源陶器股份有限公司,0.0,10000.0,0.0,0.0
久燁實業有限公司,0.0,0.0,0.0,0.0
久玖建設有限公司,0.0,0.0,0.0,0.0
久發環保工程股份有限公司,0.0,0.0,0.0,0.0
久發環境工程股份有限公司,0.0,0.0,0.0,0.0
久盛商品陳列架有限公司,0.0,0.0,0.0,0.0
久禾達工業股份有限公司,0.0,0.0,0.0,0.0
久立企業社,0.0,0.0,0.0,0.0
久立藥品有限公司,0.0,0.0,0.0,0.0
久翔企業社,0.0,500.0,0.0,0.0
久聖有限公司,0.0,0.0,0.0,0.0
久菱實業股份有限公司,0.0,0.0,0.0,0.0
久裕興業科技股份有限公司,0.0,0.0,0.0,0.0
久誠建設股份有限公司,0.0,0.0,0.0,0.0
久貿實業有限公司,0.0,0.0,0.0,0.0
久通企業有限公司,0.0,10000.0,0.0,0.0
久鈺建設有限公司,0.0,0.0,0.0,0.0
久鋒國際企業股份有限公司,0.0,0.0,0.0,0.0
久鐵工業股份有限公司,0.0,0.0,0.0,0.0
久鼎金屬實業股份有限公司,0.0,0.0,0.0,0.0
久鼎鋁業有限公司,0.0,10000.0,0.0,0.0
